<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HMR.US,D,20250220,000000,8.75,10.04,4.32,5.95,19086626,0
HMR.US,D,20250221,000000,5.85,5.99,4.22,4.33,5078838,0
HMR.US,D,20250224,000000,4,4,3.02,3.06,2079804,0
HMR.US,D,20250225,000000,2.62,3.8,2.2,3.03,4830541,0
HMR.US,D,20250226,000000,2.97,3.31,2.88,3,915394,0
HMR.US,D,20250227,000000,2.8,2.8851,2.535,2.56,730412,0
HMR.US,D,20250228,000000,2.37,2.41,2.23,2.28,779979,0
HMR.US,D,20250303,000000,2.45,2.4896,1.86,1.87,1232292,0
HMR.US,D,20250304,000000,1.77,1.7855,1.58,1.7,728733,0
HMR.US,D,20250305,000000,1.77,1.93,1.665,1.675,1005938,0
HMR.US,D,20250306,000000,1.64,1.7,1.53,1.59,597085,0
HMR.US,D,20250307,000000,1.61,1.61,1.45,1.51,496170,0
HMR.US,D,20250310,000000,1.73,3.25,1.56,2.56,37584075,0
HMR.US,D,20250311,000000,2.18,2.3641,1.9601,2.13,2746182,0
HMR.US,D,20250312,000000,2.13,2.94,1.95,2.55,8484675,0
HMR.US,D,20250313,000000,2.85,4.8,2.6,4.08,84650805,0
HMR.US,D,20250314,000000,3.69,3.88,3.09,3.45,4634693,0
HMR.US,D,20250317,000000,3.24,3.25,2.56,2.7,1993485,0
HMR.US,D,20250318,000000,2.82,4.04,2.82,3.46,22495656,0
HMR.US,D,20250319,000000,3.44,3.6,3.04,3.27,2047738,0
HMR.US,D,20250320,000000,3.2,3.5193,3,3.23,1199016,0
HMR.US,D,20250321,000000,3.28,3.28,3.05,3.21,650985,0
HMR.US,D,20250324,000000,3.245,3.3899,2.88,3.07,1165820,0
