<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IYRI.US,D,20250116,000000,50.4,51.0324,50.4,51.0324,9646,0
IYRI.US,D,20250117,000000,51.2,51.45,51.122,51.205,8010,0
IYRI.US,D,20250121,000000,51.66,51.6725,51.41,51.6725,21903,0
IYRI.US,D,20250122,000000,51.16,51.64,50.6546,50.6546,18144,0
IYRI.US,D,20250123,000000,50.78,51.14,50.5,50.904,16405,0
IYRI.US,D,20250124,000000,50.95,51.25,50.9,51.0749,13732,0
IYRI.US,D,20250127,000000,51.22,51.27,50.95,51.234,21931,0
IYRI.US,D,20250128,000000,51.23,51.62,50.957,50.9998,21461,0
IYRI.US,D,20250129,000000,51.11,51.2,50.55,50.7,20259,0
IYRI.US,D,20250130,000000,51.13,51.1786,50.85,51.0072,5059,0
IYRI.US,D,20250131,000000,51.09,51.45,50.9584,50.9738,34097,0
IYRI.US,D,20250203,000000,50.6,51.04,50.25,50.91,21074,0
IYRI.US,D,20250204,000000,50.75,51.02,50.55,50.9198,15052,0
IYRI.US,D,20250205,000000,51.26,51.603,51.0781,51.5003,5378,0
IYRI.US,D,20250206,000000,51.76,51.88,51.415,51.5601,6036,0
IYRI.US,D,20250207,000000,51.63,51.83,51.3867,51.56,12361,0
IYRI.US,D,20250210,000000,51.5596,51.88,51.2842,51.543,19676,0
IYRI.US,D,20250211,000000,51.52,51.7631,51.4,51.7631,12363,0
IYRI.US,D,20250212,000000,51.35,51.6,51.184,51.4099,13786,0
IYRI.US,D,20250213,000000,51.78,51.8299,51.3617,51.8101,8190,0
IYRI.US,D,20250214,000000,51.94,52.0798,51.7501,51.8,19553,0
IYRI.US,D,20250218,000000,51.88,51.99,51.65,51.93,28238,0
IYRI.US,D,20250219,000000,51.82,52.12,51.7001,51.99,24923,0
IYRI.US,D,20250220,000000,51.9199,52.18,51.73,52.16,11486,0
IYRI.US,D,20250221,000000,52.17,52.17,51.64,51.845,19400,0
