<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEAC.US,D,20241125,000000,28.02,28.02,25.4767,25.5961,18802,0
FEAC.US,D,20241126,000000,25.61,25.82,25.6,25.6772,20444,0
FEAC.US,D,20241127,000000,25.6472,27.8,25.5587,25.5866,7695,0
FEAC.US,D,20241129,000000,25.76,25.83,25.69,25.7508,4678,0
FEAC.US,D,20241202,000000,25.73,25.89,25.72,25.8311,8720,0
FEAC.US,D,20241203,000000,25.8696,25.91,25.7987,25.857,10840,0
FEAC.US,D,20241204,000000,25.8968,26.44,25.8968,26.0401,7349,0
FEAC.US,D,20241205,000000,26.025,26.07,26.025,26.0664,2316,0
FEAC.US,D,20241206,000000,26.0999,26.11,26,26.0152,7127,0
FEAC.US,D,20241209,000000,26.02,26.03,25.77,25.8273,3182,0
FEAC.US,D,20241210,000000,25.82,25.92,25.6804,25.6804,4020,0
FEAC.US,D,20241211,000000,25.81,26.06,25.81,25.9087,4624,0
FEAC.US,D,20241212,000000,25.8292,25.88,25.7369,25.7369,3402,0
FEAC.US,D,20241213,000000,25.81,25.84,25.6378,25.6451,6287,0
FEAC.US,D,20241216,000000,25.7212,25.79,25.716,25.7395,5363,0
FEAC.US,D,20241217,000000,25.65,25.65,25.6462,25.6462,302,0
FEAC.US,D,20241218,000000,25.6696,25.77,24.9387,24.9387,4150,0
FEAC.US,D,20241219,000000,25.0919,25.0919,24.8316,24.8316,4293,0
FEAC.US,D,20241220,000000,24.7,25.25,24.7,25.0394,1729,0
FEAC.US,D,20241223,000000,24.9601,25.2249,24.9601,25.2249,516,0
FEAC.US,D,20241224,000000,25.36,25.48,25.3267,25.477,3051,0
FEAC.US,D,20241226,000000,25.48,25.49,25.45,25.4837,2339,0
FEAC.US,D,20241227,000000,25.325,25.325,25.1551,25.193,940,0
FEAC.US,D,20241230,000000,24.81,25.11,24.81,24.99,2536,0
FEAC.US,D,20241231,000000,24.99,25.03,24.85,24.8762,3468,0
FEAC.US,D,20250102,000000,25.08,25.08,24.8544,24.8544,1839,0
FEAC.US,D,20250103,000000,25.0036,25.2,25.0036,25.143,2934,0
FEAC.US,D,20250106,000000,25.43,25.5,25.32,25.3278,3514,0
FEAC.US,D,20250107,000000,25.3,25.3,25.02,25.0361,2504,0
FEAC.US,D,20250108,000000,24.94,25.09,24.9332,25.0838,1461,0
FEAC.US,D,20250110,000000,24.78,24.98,24.6515,24.6793,3320,0
FEAC.US,D,20250113,000000,24.4904,24.7078,24.4904,24.7078,1326,0
FEAC.US,D,20250114,000000,24.7036,24.7472,24.61,24.7472,594,0
FEAC.US,D,20250116,000000,25.39,25.39,25.22,25.255,842,0
FEAC.US,D,20250117,000000,25.5,25.53,25.4489,25.4489,1771,0
FEAC.US,D,20250121,000000,25.6769,25.6848,25.64,25.6848,1508,0
FEAC.US,D,20250122,000000,25.86,25.8742,25.806,25.806,2397,0
FEAC.US,D,20250123,000000,25.71,25.8785,25.69,25.8785,2778,0
FEAC.US,D,20250124,000000,25.945,26.01,25.8,25.8271,1649,0
FEAC.US,D,20250127,000000,25.48,25.48,25.37,25.4126,2688,0
FEAC.US,D,20250128,000000,25.6,25.6577,25.6,25.6577,1262,0
FEAC.US,D,20250129,000000,25.62,25.62,25.5897,25.5897,951,0
FEAC.US,D,20250130,000000,25.65,25.7628,25.5743,25.6973,2372,0
FEAC.US,D,20250131,000000,25.89,25.89,25.575,25.575,934,0
FEAC.US,D,20250203,000000,25.23,25.43,25.2299,25.3838,715,0
FEAC.US,D,20250204,000000,25.3857,25.56,25.3857,25.5508,2228,0
FEAC.US,D,20250205,000000,25.55,25.6803,25.55,25.6803,1038,0
FEAC.US,D,20250206,000000,25.8,25.845,25.7382,25.7438,424,0
FEAC.US,D,20250207,000000,25.88,25.91,25.5248,25.5248,2158,0
FEAC.US,D,20250210,000000,25.7,25.75,25.6769,25.7251,4813,0
FEAC.US,D,20250211,000000,25.75,25.75,25.7062,25.7062,717,0
FEAC.US,D,20250212,000000,25.5914,25.71,25.56,25.6305,1264,0
FEAC.US,D,20250213,000000,25.7701,25.8506,25.7701,25.8506,1600,0
FEAC.US,D,20250214,000000,25.86,25.94,25.76,25.869,3832,0
FEAC.US,D,20250218,000000,25.94,26.01,25.92,25.9471,3528,0
FEAC.US,D,20250220,000000,26.02,26.02,25.801,25.8923,2210,0
FEAC.US,D,20250221,000000,25.7178,25.7178,25.37,25.3701,3949,0
