<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LNGG.US,D,20230926,000000,24.99,24.99,24.74,24.74,2582,0
LNGG.US,D,20230927,000000,24.86,24.93,24.82,24.8384,2776,0
LNGG.US,D,20230928,000000,25.07,25.23,25.07,25.166,3287,0
LNGG.US,D,20230929,000000,25.16,25.16,24.9464,24.9464,968,0
LNGG.US,D,20231002,000000,24.5,24.5,24.36,24.3604,9780,0
LNGG.US,D,20231003,000000,23.9452,23.9539,23.81,23.9539,1917,0
LNGG.US,D,20231004,000000,23.52,23.52,23.45,23.4586,1384,0
LNGG.US,D,20231005,000000,23.55,23.611,23.55,23.611,200,0
LNGG.US,D,20231006,000000,23.58,23.8759,23.58,23.8759,476,0
LNGG.US,D,20231009,000000,24.28,24.465,24.28,24.4391,1249,0
LNGG.US,D,20231010,000000,24.5725,24.76,24.5725,24.7043,2502,0
LNGG.US,D,20231011,000000,24.81,24.83,24.55,24.6801,1104,0
LNGG.US,D,20231012,000000,24.71,24.71,24.33,24.4368,833,0
LNGG.US,D,20231013,000000,24.61,24.7113,24.61,24.7113,485,0
LNGG.US,D,20231016,000000,24.79,24.79,24.7603,24.7603,253,0
LNGG.US,D,20231017,000000,24.8,24.8,24.76,24.7753,711,0
LNGG.US,D,20231018,000000,24.75,24.79,24.7236,24.7236,1049,0
LNGG.US,D,20231019,000000,24.73,24.75,24.6697,24.6697,2134,0
LNGG.US,D,20231020,000000,24.46,24.4782,24.3658,24.3658,829,0
LNGG.US,D,20231023,000000,24,24.1498,24,24.0773,614,0
LNGG.US,D,20231024,000000,24.11,24.2147,24.1,24.2147,620,0
LNGG.US,D,20231025,000000,24.09,24.0905,24.08,24.0905,394,0
LNGG.US,D,20231026,000000,23.9527,23.9527,23.9527,23.9527,5,0
LNGG.US,D,20231027,000000,23.8998,23.8998,23.8998,23.8998,17,0
LNGG.US,D,20231030,000000,24,24.0001,23.8809,23.8809,735,0
LNGG.US,D,20231031,000000,23.7982,23.7982,23.7982,23.7982,6,0
LNGG.US,D,20231101,000000,24.03,24.12,24.03,24.0975,747,0
LNGG.US,D,20231102,000000,24.1,24.4646,24.1,24.4646,346,0
LNGG.US,D,20231103,000000,24.56,24.56,24.3585,24.3585,571,0
LNGG.US,D,20231106,000000,24.1253,24.1253,24.1253,24.1253,135,0
LNGG.US,D,20231107,000000,24,24,23.64,23.761,2814,0
LNGG.US,D,20231108,000000,23.8148,23.8148,23.8148,23.8148,5,0
LNGG.US,D,20231109,000000,23.91,23.92,23.7264,23.7264,533,0
LNGG.US,D,20231110,000000,23.7338,23.7338,23.7338,23.7338,4,0
LNGG.US,D,20231113,000000,23.79,23.792,23.79,23.792,324,0
LNGG.US,D,20231114,000000,24.3096,24.324,24.3096,24.324,946,0
LNGG.US,D,20231115,000000,24.23,24.37,24.1971,24.1971,5145,0
